annee_numero_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
20211156;2021-12-29;21;18;33;49;48;7
20200110;2020-12-09;16;46;12;21;24;2
20200145;2020-02-12;23;14;40;46;27;1
20211153;2021-12-22;41;20;46;11;24;1
20200104;2020-08-29;23;15;38;21;39;4
20200140;2020-11-21;49;17;44;5;46;4
20211150;2021-12-15;34;47;11;37;38;8
20200084;2020-07-13;24;3;35;46;2;8
20200138;2020-11-16;7;47;16;33;42;7
20211147;2021-08-12;28;26;1;30;16;4
20200083;2020-11-07;32;6;35;28;40;7
20200133;2020-04-11;29;10;16;14;9;1
20211144;2021-01-12;26;18;3;49;46;6
20200075;2020-06-22;9;36;5;21;39;5
20200130;2020-10-28;25;43;30;2;19;9
20211143;2021-11-29;30;26;35;44;31;4
20200074;2020-06-20;8;24;33;38;14;5
20200128;2020-10-24;8;25;4;12;45;2
20211142;2021-11-27;25;28;46;12;27;4
20200064;2020-05-27;29;6;12;44;31;6
20200126;2020-10-19;7;35;48;28;25;1
20211132;2021-03-11;7;39;31;38;42;10
20200061;2020-05-20;45;14;39;20;47;8
20200124;2020-10-14;19;42;32;26;39;6
20211130;2021-10-30;46;11;43;12;30;9
20200059;2020-05-16;26;27;41;46;19;4
20200116;2020-09-26;4;31;49;8;39;9
20211126;2021-10-20;26;35;16;22;42;4
20200055;2020-06-05;48;36;14;15;10;3
20200109;2020-09-09;24;48;20;29;45;3
20211125;2021-10-18;41;27;36;35;9;6
20200051;2020-04-27;41;11;19;29;14;9
20200107;2020-05-09;22;15;19;24;46;3
20211124;2021-10-16;23;15;46;5;37;10
20200043;2020-08-04;16;9;19;26;6;9
20200106;2020-02-09;14;23;21;47;3;3
20211119;2021-04-10;44;15;5;19;7;1
20200040;2020-01-04;41;48;42;28;3;6
20200105;2020-08-31;7;16;17;4;11;10
20211113;2021-09-20;12;10;45;15;31;5
20200039;2020-03-30;21;37;12;17;23;7
20200103;2020-08-26;13;45;4;40;31;3
20211112;2021-09-18;39;38;21;2;9;2
20200038;2020-03-28;35;23;26;32;22;5
20200100;2020-08-19;35;11;13;4;34;1
20211111;2021-09-15;48;22;4;30;27;7
20200037;2020-03-25;40;45;24;32;34;1
20200099;2020-08-17;6;1;39;48;40;6
20211110;2021-09-13;4;30;24;21;40;4
20200036;2020-03-23;28;49;5;48;21;2
20200098;2020-08-15;5;41;3;42;15;7
20211107;2021-06-09;3;31;36;13;40;9
20200035;2020-03-21;16;37;8;7;42;8
20200093;2020-03-08;43;48;42;23;30;7
20211097;2021-08-14;4;28;42;49;35;7
20200024;2020-02-24;20;15;27;9;47;7
20200092;2020-01-08;17;18;25;38;9;9
20211094;2021-07-08;7;24;36;6;47;10
20200018;2020-10-02;15;49;37;25;38;8
20200089;2020-07-25;18;10;6;15;48;4
20211088;2021-07-24;24;40;5;31;22;9
20200017;2020-08-02;47;31;12;45;7;10
20200088;2020-07-22;4;28;38;20;18;1
20211087;2021-07-21;27;25;6;37;32;9
20200013;2020-01-29;31;30;6;14;45;8
20200087;2020-07-20;8;42;22;28;26;2
20211086;2021-07-19;3;28;15;4;2;5
20200012;2020-01-27;27;12;10;7;41;1
20200082;2020-08-07;30;48;37;9;26;8
20211080;2021-05-07;43;36;3;32;45;2
20200011;2020-01-25;36;17;30;7;11;5
20200078;2020-06-29;21;29;20;47;46;7
20211079;2021-03-07;33;48;13;2;19;2
20200010;2020-01-22;25;28;42;26;12;10
20200076;2020-06-24;36;8;31;34;17;7
20211077;2021-06-28;4;28;48;8;15;1
20200005;2020-11-01;48;14;2;23;13;3
20200073;2020-06-17;26;13;10;20;46;1
20211074;2021-06-21;44;21;25;18;47;10
20200001;2020-01-01;11;7;32;24;4;10
20200070;2020-10-06;47;36;20;11;9;2
20211073;2021-06-19;3;44;46;27;14;6
20199153;2019-12-23;37;36;32;20;7;2
20200065;2020-05-30;5;14;42;44;16;9
20211070;2021-12-06;9;2;5;29;10;1
20199148;2019-11-12;25;33;48;1;40;8
20200063;2020-05-25;9;26;30;42;36;4
20211069;2021-09-06;16;33;41;2;24;8
20199147;2019-09-12;1;34;15;24;25;8
20200062;2020-05-23;22;28;3;23;29;2
20211063;2021-05-26;20;1;22;5;42;6
20199146;2019-07-12;40;29;44;38;10;8
20200053;2020-02-05;43;22;12;30;9;4
20211061;2021-05-22;9;2;45;19;7;10
20199145;2019-04-12;8;30;26;35;40;2
20200050;2020-04-25;49;6;24;13;10;3
20211059;2021-05-17;23;42;3;17;47;4
20199142;2019-11-27;44;2;15;29;18;4
20200048;2020-04-20;37;5;9;7;41;6
20211058;2021-05-15;7;31;29;24;47;3
20199135;2019-11-11;28;14;27;13;25;5
20200045;2020-04-13;42;1;19;23;17;9
20211055;2021-08-05;41;35;40;6;24;6
20199133;2019-06-11;43;27;23;44;42;10
20200042;2020-06-04;23;29;18;35;7;4
20211054;2021-05-05;36;48;46;41;8;6
20200033;2020-03-16;44;16;4;40;23;3
20211037;2021-03-27;16;11;18;8;10;5
20200031;2020-11-03;38;45;5;14;46;1
20211031;2021-03-13;47;22;19;4;10;8
20200029;2020-07-03;5;35;37;4;24;2
20211030;2021-10-03;26;42;33;20;34;9
20200028;2020-04-03;10;17;33;30;49;4
20211029;2021-08-03;24;8;38;19;40;10
20200027;2020-02-03;42;26;21;39;40;5
20211025;2021-02-27;4;29;42;43;11;10
20200026;2020-02-29;37;24;19;10;5;6
20211023;2021-02-22;3;37;26;15;24;7
20200025;2020-02-26;20;6;30;32;45;4
20211022;2021-02-20;21;36;19;39;49;5
20200019;2020-12-02;47;38;17;30;43;5
20211021;2021-02-17;34;31;35;41;29;8
20200009;2020-01-20;13;38;31;30;26;1
20211020;2021-02-15;13;22;17;6;12;7
20200007;2020-01-15;35;19;8;22;46;2
20211019;2021-02-13;13;17;31;28;9;10
20199154;2019-12-25;36;40;45;24;15;9
20211018;2021-10-02;44;13;29;15;33;4
20199151;2019-12-18;23;6;17;5;7;9
20211016;2021-06-02;44;42;15;9;47;10
20199149;2019-12-14;3;48;17;4;38;9
20211015;2021-03-02;17;31;26;37;21;10
20199144;2019-02-12;39;28;14;11;42;9
20211007;2021-01-16;44;20;14;22;36;2
20199143;2019-11-30;7;25;17;48;16;3
20211005;2021-11-01;33;46;8;17;1;5
20199140;2019-11-23;4;27;28;9;22;4
20211003;2021-06-01;41;21;32;47;11;9
20199138;2019-11-18;31;44;6;15;12;7
20211001;2021-02-01;5;27;7;24;41;10
20199134;2019-09-11;26;24;6;18;29;3
20200157;2020-12-30;36;20;13;31;38;1
20199132;2019-04-11;16;9;42;1;39;7
20200150;2020-12-14;47;48;13;34;2;6
20200147;2020-07-12;45;27;48;4;38;4
20200143;2020-11-28;9;25;2;47;35;10
20200142;2020-11-25;1;26;14;31;10;4
20200137;2020-11-14;40;26;17;24;43;9
20200136;2020-11-11;15;17;10;37;16;9
20200135;2020-09-11;26;18;41;38;5;10
20200129;2020-10-26;33;7;8;12;22;5
20200122;2020-10-10;48;26;31;47;42;8
20200117;2020-09-28;33;22;44;6;35;2
20200115;2020-09-23;11;5;25;23;33;5
20200113;2020-09-19;33;42;27;46;32;7
20200112;2020-09-16;28;19;49;23;17;7
